positions_X,positions_y
0.7404,3.1583
0.7404,3.1583
0.7404,3.1554
0.7405,3.1158
0.7413,3.022
0.7443,2.8819
0.7509,2.7118
0.758,2.5833
0.7745,2.3667
0.7931,2.18
0.8223,1.9485
0.8489,1.7731
0.8804,1.5924
0.9158,1.4103
0.9542,1.2269
0.9931,1.0456
1.0174,0.9245
1.0471,0.7137
1.0462,0.5843
1.0288,0.422
1.0104,0.1925
1.0077,0.002
1.0186,-0.1859
1.0429,-0.3685
1.0809,-0.5488
1.1286,-0.7144
1.1924,-0.8872
1.2628,-1.0423
1.3882,-1.2649
1.5261,-1.4609
1.6952,-1.6547
1.8786,-1.8238
2.0787,-1.9727
2.2754,-2.0921
2.4839,-2.2001
2.6758,-2.2968
2.8502,-2.4004
3.021,-2.5524
3.1576,-2.7356
3.2574,-2.944
3.2973,-3.0619
3.3418,-3.2002
3.3933,-3.3637
3.4533,-3.5538
3.5041,-3.7134
3.5528,-3.8652
3.6001,-4.0113
3.6508,-4.1668
3.6968,-4.3069
3.7456,-4.4546
3.7917,-4.5927
3.8386,-4.7325
3.8877,-4.878
3.9365,-5.0214
3.983,-5.1573
4.0318,-5.2986
4.1123,-5.5303
4.1877,-5.7447
4.2283,-5.8593
4.2785,-6.0002
4.3298,-6.1428
4.3888,-6.3059
4.442,-6.452
4.4955,-6.5981
4.5485,-6.7421
4.6004,-6.8823
4.663,-7.0505
4.7201,-7.2037
4.7744,-7.3495
4.8288,-7.4994
4.9019,-7.7103
4.9629,-7.8959
5.0188,-8.0748
5.0739,-8.2602
5.1246,-8.4406
4.9801,-6.0261
4.9797,-6.1069
4.9744,-6.2296
4.9574,-6.4068
4.9317,-6.5824
4.8945,-6.7719
4.8494,-6.9579
4.7996,-7.1386
4.7448,-7.3385
4.7043,-7.5647
4.6982,-7.748
4.6841,-7.9349
4.6651,-8.0619
4.634,-8.2069
4.5888,-8.3626
4.5361,-8.5054
4.4702,-8.6514
4.3352,-8.8861
4.1966,-9.0738
4.4012,-8.1381
4.3306,-8.1488
4.2036,-8.1631
4.0257,-8.1702
3.8332,-8.1584
3.7359,-8.1446
3.6279,-8.1224
3.5177,-8.0925
3.4077,-8.0549
3.3023,-8.011
3.1982,-7.9595
3.0927,-7.8982
2.9997,-7.8356
2.9094,-7.7659
2.7417,-7.6084
2.6072,-7.4465
2.484,-7.249
2.3958,-7.0462
2.3249,-6.8249
2.2692,-6.6151
2.2183,-6.3836
2.1779,-6.158
2.1472,-5.941
2.1241,-5.721
2.1083,-5.4924
2.1009,-5.2654
2.1014,-5.0582
2.1086,-4.8511
2.1253,-4.6125
2.1468,-4.4064
3.1218,-7.0954
3.0647,-7.0354
2.9628,-6.9281
2.8222,-6.7773
2.6742,-6.5988
2.5443,-6.4202
2.4255,-6.2318
2.3099,-6.0163
2.2063,-5.7817
2.1327,-5.5759
2.0727,-5.3636
2.0284,-5.1536
2.0134,-5.0614
1.9891,-4.8502
1.9785,-4.6576
1.9788,-4.4569
1.9878,-4.2961
3.1036,-7.0764
3.0328,-6.999
2.8862,-6.8348
2.7413,-6.659
2.6055,-6.4724
2.4751,-6.2653
2.3669,-6.0638
2.2725,-5.8555
2.1937,-5.6452
2.1271,-5.4223
2.076,-5.1955
2.0572,-5.0857
2.041,-4.9676
2.029,-4.8508
2.0164,-4.6225
2.0154,-4.5191
2.0237,-4.2966
3.1041,-7.0769
3.0295,-6.9953
2.9074,-6.8591
2.7666,-6.6972
2.6316,-6.5226
2.5012,-6.3298
2.3918,-6.1426
2.2941,-5.9469
2.2045,-5.7323
2.1337,-5.5234
2.0766,-5.3082
2.0536,-5.1994
2.0339,-5.0878
2.0178,-4.9756
2.0052,-4.8609
1.9963,-4.7459
1.9897,-4.5193
1.9972,-4.2988
3.109,-7.082
3.0434,-7.0106
2.9258,-6.88
2.7771,-6.7093
2.6433,-6.5363
2.5054,-6.3317
2.3958,-6.1424
2.2931,-5.9337
2.2052,-5.7183
2.1371,-5.5127
2.077,-5.2778
2.0552,-5.1686
2.0368,-5.0568
2.0211,-4.9365
2.0081,-4.7979
1.9986,-4.5774
2.0028,-4.3568
3.1157,-7.0892
3.0569,-7.0258
2.9619,-6.9206
2.8168,-6.7562
2.6677,-6.5655
2.5429,-6.3832
2.435,-6.2021
2.3275,-5.9913
2.2441,-5.8096
2.1989,-5.7111
2.1842,-5.6789
2.1845,-5.6794
2.1846,-5.6797
2.1847,-5.6798
2.1847,-5.6799
2.1848,-5.68
2.1848,-5.68
2.1848,-5.68
2.1848,-5.68
2.1848,-5.68
2.1876,-5.6859
2.2113,-5.7343
2.2323,-5.7723
2.2654,-5.8248
2.3142,-5.8924
2.3793,-5.9724
2.4458,-6.0487
2.5478,-6.1627
2.594,-6.2142
2.5963,-6.2166
2.5968,-6.2171
2.6331,-6.2568
2.7219,-6.3434
2.8808,-6.4788
3.008,-6.5844
3.1269,-6.6834
3.2957,-6.8238
3.4136,-6.922
3.4923,-6.9875
3.5115,-7.0034
3.5112,-7.0032
3.511,-7.003
3.5109,-7.0029
3.5349,-7.0233
3.6032,-7.0874
3.7031,-7.1956
3.7832,-7.2878
3.8186,-7.3287
3.8185,-7.3287
3.8174,-7.3275
3.7833,-7.2887
3.6952,-7.201
3.5521,-7.0957
3.3337,-6.9704
3.1154,-6.853
2.9806,-6.7804
2.8923,-6.7328
2.8264,-6.6981
2.6848,-6.6368
2.4945,-6.5792
2.3647,-6.5448
2.3258,-6.5344
2.3023,-6.5282
2.2981,-6.5271
2.2984,-6.5271
2.2985,-6.5272
2.2987,-6.5273
2.2988,-6.5273
2.2989,-6.5273
2.2989,-6.5274
2.299,-6.5274
2.299,-6.5274
2.299,-6.5274
2.299,-6.5274
2.2991,-6.5274
2.2991,-6.5274
2.2991,-6.5274
2.2991,-6.5274
2.2991,-6.5274
2.2914,-6.5253
2.2667,-6.5186
2.2218,-6.507
2.1592,-6.4944
2.0762,-6.4876
1.9078,-6.5117
1.751,-6.5853
1.6064,-6.7223
1.4874,-6.9248
1.4047,-7.1473
1.3637,-7.3259
1.3358,-7.528
1.3213,-7.7204
1.3146,-7.9175
1.3116,-8.1189
1.3077,-8.3061
1.2962,-8.4963
1.2511,-8.7367
1.1922,-8.8934
1.1366,-8.9956
0.977,-9.1992
0.7936,-9.3518
0.5993,-9.4581
0.383,-9.5281
0.1728,-9.5553
0.0244,-9.5521
-0.1732,-9.5187
