positions_X,positions_y
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7415,3.1583
0.7416,3.1583
0.7416,3.1583
0.7416,3.1583
0.7416,3.1583
0.7416,3.1571
0.7415,3.132
0.7403,3.0815
0.7334,3.0026
0.7112,2.8794
0.6888,2.7868
0.6728,2.7249
0.6629,2.6864
0.6604,2.6765
0.6604,2.6768
0.6605,2.677
0.6605,2.6771
0.6605,2.6772
0.6572,2.6645
0.6506,2.6331
0.6417,2.5469
0.6448,2.4743
0.6501,2.4371
0.6516,2.4285
0.6515,2.4287
0.6538,2.4157
0.6611,2.3796
0.6771,2.323
0.7004,2.2651
0.7505,2.1758
0.7704,2.1461
0.7703,2.1463
0.7702,2.1464
0.7712,2.1451
0.7815,2.1297
0.8016,2.0974
0.8252,2.0517
0.8525,1.9832
0.8672,1.9282
0.8725,1.9034
0.8725,1.9033
0.8725,1.9035
0.8725,1.9036
0.8779,1.8737
0.8834,1.817
0.8833,1.7595
0.8724,1.6731
0.8449,1.5779
0.8006,1.4771
0.7211,1.3435
0.6766,1.2775
0.6651,1.261
0.6584,1.2512
0.6264,1.1995
0.5822,1.103
0.5509,0.9517
0.5573,0.8149
0.6022,0.6671
0.7062,0.5095
0.8781,0.3816
1.0129,0.3324
1.1016,0.3126
1.136,0.3062
1.1355,0.3066
1.1401,0.3059
1.1847,0.2945
1.2662,0.2627
1.3723,0.197
1.4575,0.1138
1.5001,0.0542
1.5346,-0.0083
1.5731,-0.1164
1.5853,-0.1839
1.5895,-0.2591
1.5832,-0.3361
1.5738,-0.3831
1.5683,-0.4047
1.5683,-0.4045
1.5683,-0.4043
1.5682,-0.4044
1.5644,-0.4188
1.5556,-0.4562
1.5449,-0.5198
1.541,-0.6001
1.5507,-0.694
1.5779,-0.7929
1.6084,-0.8675
1.6383,-0.9281
1.6443,-0.9397
1.6564,-0.9632
1.7004,-1.0487
1.7781,-1.1878
1.838,-1.2778
1.8697,-1.3232
1.8696,-1.3231
1.8699,-1.3235
1.8904,-1.3522
1.9333,-1.4097
1.9481,-1.4293
1.948,-1.4291
1.9479,-1.429
1.9478,-1.429
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
1.9478,-1.4289
